ID,Tool,Research Theme,Guiding Question,Discipline(s),Research Type,Status,Lead / Collaborator(s),Potential Partner Institution(s),Output Type,Notes / Links
R01,Hurt Gradient Scale,Gradient vs Diagnostic Models,Do gradient-based visuals improve emotional understanding compared to diagnostic or categorical models?,"Psychology, Education",Validation,Open,,,Paper / Pilot Report,Connects to SEL and Polyvagal Theory
R02,Emotional Circuit Board,Flow of Emotion Under Stress,Does visualizing emotion as a moving current reduce shame and reactivity?,"Neuroscience, Trauma",Experimental,Open,,,Pilot Study,Could pair with somatic tracking data
R03,Accountability Gradient,Harm vs Discomfort,Can distinguishing harm from discomfort improve relational repair and accountability?,"Psychology, Sociology",Intervention,Open,,,Comparative Report,Connects to restorative justice research
R04,Emotional Compass Tool,Naming Emotions with Accuracy,Does seeing emotions as coordinates help users name what they feel faster and with less overwhelm?,"Education, Cognitive Science",Comparative,Open,,,Mixed-Methods Study,Useful for SEL classroom pilots
R05,Role Mask Gradient,Role Adoption & Authenticity,Can mapping our social “role masks” reduce emotional exhaustion and increase authenticity?,"Psychology, Sociology",Intervention,Open,,,Pilot Study,Useful for ND adult communities
R06,False Self Map,Self-Deception & Survival,How does recognizing the false self change patterns of self-criticism or avoidance?,Clinical Psychology,Theoretical,Open,,,Conceptual Paper,
R07,,Cultural Masking,How do social norms encourage adaptive but emotionally harmful masking?,"Anthropology, Sociology",Comparative,Open,,,Paper,
R08,,Healing the False Self,Can identifying role masks predict readiness for deeper therapeutic repair?,"Therapy, Trauma Studies",Validation,Open,,,Study Proposal,
R09,Internal Compass Tool,Inner Layer Awareness,Does mapping inner layers increase emotional regulation under stress?,"Neuroscience, Trauma",Experimental,Open,,,Pilot Study,
R10,,Cognitive Dissonance Mapping,Can visualizing dissonance help users recognize when logic protects the mask instead of the self?,Psychology,Validation,Open,,,Paper,
R11,,Somatic Awareness,How do body signals reveal when the logic layer overrides authentic emotion?,"Somatics, Neuropsychology",Integration,Open,,,Comparative Study,
R12,,Repair Through Alignment,Does aligning all three layers increase post-conflict empathy and repair capacity?,"Psychology, Education",Intervention,Open,,,Pilot Report,
R13,False Model Table,Social Conditioning & Bias,How do cultural myths reinforce emotional repression?,"Sociology, Cultural Studies",Comparative,Open,,,Paper,
R14,Power Gradient,Emotional Power & Morality,Can mapping power gradients expose emotional manipulation in leadership?,Political Psychology,Integration,Open,,,Conceptual Paper,
R15,,Gender Role Conditioning,How do emotional expectations tied to gender shape early emotional identity?,"Developmental, Gender Studies",Comparative,Open,,,Study,
R16,,Emotional Literacy Education,Can teaching societal false models increase youth resilience to social pressure?,Education,Intervention,Open,,,Pilot Program,
R17,Belonging Map,Worth & Inclusion,How does perceived economic insecurity affect belonging and self-worth?,"Social Psychology, Economics",Comparative,Open,,,Quantitative Study,
